Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Energy_efficiency,Energy_ratio,CO2_per_capita
United States,all_energy_types,1986,76.598888068,67.030255766,8617.77,240072.0,319.0663137225499,8.888481366757294,4605.354533,0.8750813158866545,0.8750813158866545,0.019183222254157084
United States,coal,1986,17.260405035,19.509466196,8617.77,240072.0,319.0663137225499,8.888481366757294,1655.024937,1.1303017603839214,1.1303017603839214,0.006893869076776966
United States,natural_gas,1986,16.591364143,16.5408009,8617.77,240072.0,319.0663137225499,8.888481366757294,926.516318,0.9969524360646781,0.9969524360646781,0.0038593268602752505
United States,petroleum_n_other_liquids,1986,32.2105668,20.4887396,8617.77,240072.0,319.0663137225499,8.888481366757294,2023.813278,0.6360875214403243,0.6360875214403243,0.008430026317104869
United States,nuclear,1986,4.380108667,4.380108667,8617.77,240072.0,319.0663137225499,8.888481366757294,0.0,1.0,1.0,0.0
United States,renewables_n_other,1986,6.111140402,6.111140403,8617.77,240072.0,319.0663137225499,8.888481366757294,0.0,1.0000000001636355,1.0000000001636355,0.0
United States,all_energy_types,1987,79.008202666,67.506383428,8915.9,242235.0,326.16344733832847,8.861494932199777,4615.662207,0.8544224669098867,0.8544224669098867,0.019054481008111957
United States,coal,1987,18.008450718,20.141104115,8915.9,242235.0,326.16344733832847,8.861494932199777,1635.733252,1.1184251455272802,1.1184251455272802,0.0067526709682746095
United States,natural_gas,1987,17.639800879,17.135819011,8915.9,242235.0,326.16344733832847,8.861494932199777,867.86644,0.9714292768123032,0.9714292768123032,0.003582745845976015
United States,petroleum_n_other_liquids,1987,32.886966681,19.853719522,8915.9,242235.0,326.16344733832847,8.861494932199777,2112.062515,0.6036956741732651,0.6036956741732651,0.008719064193861334
United States,nuclear,1987,4.753933331,4.753933331,8915.9,242235.0,326.16344733832847,8.861494932199777,0.0,1.0,1.0,0.0
United States,renewables_n_other,1987,5.621807448,5.621807449,8915.9,242235.0,326.16344733832847,8.861494932199777,0.0,1.0000000001778788,1.0000000001778788,0.0
United States,all_energy_types,1988,82.659169043,68.889579036,9288.34,244446.2,338.14871756239205,8.899240234853592,4775.551396,0.833417270383677,0.833417270383677,0.019536206314518283
United States,coal,1988,18.846312438,20.737639161,9288.34,244446.2,338.14871756239205,8.899240234853592,1709.483872,1.1003552673352959,1.1003552673352959,0.006993292888169258
United States,natural_gas,1988,18.448392652,17.598597009,9288.34,244446.2,338.14871756239205,8.899240234853592,922.972357,0.9539366025523165,0.9539366025523165,0.003775768889023433
United States,petroleum_n_other_liquids,1988,34.243286226,19.509620491,9288.34,244446.2,338.14871756239205,8.899240234853592,2143.095167,0.5697356370016518,0.5697356370016518,0.008767144537325595
United States,nuclear,1988,5.586968249,5.586968249,9288.34,244446.2,338.14871756239205,8.899240234853592,0.0,1.0,1.0,0.0
United States,renewables_n_other,1988,5.456754124,5.456754126,9288.34,244446.2,338.14871756239205,8.899240234853592,0.0,1.0000000003665184,1.0000000003665184,0.0
United States,all_energy_types,1989,84.739992958,69.284521938,9629.41,246765.2,343.4033362808046,8.800123056137396,4998.211912,0.8176130244941104,0.8176130244941104,0.020254930241379254
United States,coal,1989,19.069762485,21.360178406,9629.41,246765.2,343.4033362808046,8.800123056137396,1792.727375,1.12010720756494,1.12010720756494,0.007264911644753798
United States,natural_gas,1989,19.601605666,17.847274995,9629.41,246765.2,343.4033362808046,8.800123056137396,964.372566,0.9105006650530176,0.9105006650530176,0.003908057400314145
United States,petroleum_n_other_liquids,1989,34.235454038,18.240249847,9629.41,246765.2,343.4033362808046,8.800123056137396,2241.111971,0.5327883143233341,0.5327883143233341,0.00908196119631131
United States,nuclear,1989,5.602160969,5.602160969,9629.41,246765.2,343.4033362808046,8.800123056137396,0.0,1.0,1.0,0.0
United States,renewables_n_other,1989,6.234657719,6.234657721,9629.41,246765.2,343.4033362808046,8.800123056137396,0.0,1.0000000003207874,1.0000000003207874,0.0
United States,all_energy_types,1990,84.432860298,70.667560975,9811.07,249516.8,338.385472633506,8.605876861341322,5084.558664,0.8369675115302702,0.8369675115302702,0.020377620520942878
United States,coal,1990,19.172634948,22.487548402,9811.07,249516.8,338.385472633506,8.605876861341322,1813.144079,1.1728981677787487,1.1728981677787487,0.0072666212415356405
United States,natural_gas,1990,19.603266853,18.326154546,9811.07,249516.8,338.385472633506,8.605876861341322,1026.9554,0.9348520674346401,0.9348520674346401,0.004115776572960218
United States,petroleum_n_other_liquids,1990,33.563363508,17.709483519,9811.07,249516.8,338.385472633506,8.605876861341322,2244.459185,0.5276432892304984,0.5276432892304984,0.008995222706447021
United States,nuclear,1990,6.104350276,6.104350276,9811.07,249516.8,338.385472633506,8.605876861341322,0.0,1.0,1.0,0.0
United States,renewables_n_other,1990,6.04002423,6.040024232,9811.07,249516.8,338.385472633506,8.605876861341322,0.0,1.0000000003311245,1.0000000003311245,0.0
United States,all_energy_types,1991,84.380300081,70.321065501,9800.43,252831.2,333.7416429657416,8.609856922706452,5037.896431,0.8333825008147165,0.8333825008147165,0.0199259285681514
United States,coal,1991,18.991670121,21.636424389,9800.43,252831.2,333.7416429657416,8.609856922706452,1820.022501,1.1392586460879799,1.1392586460879799,0.007198567664908445
United States,natural_gas,1991,20.032957501,18.228736464,9800.43,252831.2,333.7416429657416,8.609856922706452,1026.254421,0.9099373601271836,0.9099373601271836,0.004059049757308433
United States,petroleum_n_other_liquids,1991,32.862616797,17.965987247,9800.43,252831.2,333.7416429657416,8.609856922706452,2191.619509,0.5466998370208942,0.5466998370208942,0.008668311145934521
United States,nuclear,1991,6.422132372,6.422132372,9800.43,252831.2,333.7416429657416,8.609856922706452,0.0,1.0,1.0,0.0
United States,renewables_n_other,1991,6.067785027,6.067785029,9800.43,252831.2,333.7416429657416,8.609856922706452,0.0,1.0000000003296097,1.0000000003296097,0.0
United States,all_energy_types,1992,85.724885062,69.914443075,10145.66,256391.2,334.3519007750656,8.449414336967727,4992.684743,0.8155676502153931,0.8155676502153931,0.019472917724945315
United States,coal,1992,19.122471284,21.694132423,10145.66,256391.2,334.3519007750656,8.449414336967727,1805.942037,1.134483723406176,1.134483723406176,0.007043697431893138
United States,natural_gas,1992,20.713632015,18.375100204,10145.66,256391.2,334.3519007750656,8.449414336967727,1047.755702,0.8871017980184968,0.8871017980184968,0.004086550950266624
United States,petroleum_n_other_liquids,1992,33.55124763,17.545447913,10145.66,256391.2,334.3519007750656,8.449414336967727,2138.987004,0.5229447234418686,0.5229447234418686,0.008342669342785556
United States,nuclear,1992,6.479206249,6.479206249,10145.66,256391.2,334.3519007750656,8.449414336967727,0.0,1.0,1.0,0.0
United States,renewables_n_other,1992,5.820556282,5.820556286,10145.66,256391.2,334.3519007750656,8.449414336967727,0.0,1.0000000006872196,1.0000000006872196,0.0
United States,all_energy_types,1993,87.265887618,68.272677806,10424.87,259809.5,335.8841290176071,8.37093293422364,5093.879398,0.7823524136356538,0.7823524136356538,0.01960620915709395
United States,coal,1993,19.835147797,20.3356537,10424.87,259809.5,335.8841290176071,8.37093293422364,1821.880293,1.0252332832667725,1.0252332832667725,0.00701236980556908
United States,natural_gas,1993,21.228999703,18.584037028,10424.87,259809.5,335.8841290176071,8.37093293422364,1083.261526,0.8754080403220212,0.8754080403220212,0.0041694454051911115
United States,petroleum_n_other_liquids,1993,33.68525793,16.86057939,10424.87,259809.5,335.8841290176071,8.37093293422364,2188.737579,0.5005328866721848,0.5005328866721848,0.008424393946333757
United States,nuclear,1993,6.410498911,6.410498911,10424.87,259809.5,335.8841290176071,8.37093293422364,0.0,1.0,1.0,0.0
United States,renewables_n_other,1993,6.081634786,6.081908777,10424.87,259809.5,335.8841290176071,8.37093293422364,0.0,1.0000450521956086,1.0000450521956086,0.0
United States,all_energy_types,1994,88.98323406,70.68306405,10844.82,263017.8,338.31639554433195,8.205137020254831,5185.520158,0.7943413699971785,0.7943413699971785,0.019715472329249202
United States,coal,1994,19.909462622,22.202083315,10844.82,263017.8,338.31639554433195,8.205137020254831,1881.678193,1.1151523140793689,1.1151523140793689,0.007154185735718267
